company_name,cik
DELHAIZE GROUP,930309
DENISON MINES CORP.,1063259
DESCARTES SYSTEMS GROUP INC,1050140
DESWELL INDUSTRIES INC,946936
DEUTSCHE BANK AKTIENGESELLSCHAFT,1159508
DEUTSCHE TELEKOM AG,946770
"DHT Holdings, Inc.",1331284
DIAGEO PLC,835403
DIANA SHIPPING INC.,1318885
DISTRIBUTION & SERVICE D&S SA,1046247
DIVERSINET CORP,918387
DORATO RESOURCES INC,1126932
DR REDDYS LABORATORIES LTD,1135951
DRDGOLD LTD,1023512
DUNDEE CORP,897455
DryShips Inc.,1308858
E-HOUSE (CHINA) HOLDINGS LTD,1405658
ECOPETROL S.A.,1444406
ECTEL LTD,1096197
EDAP TMS SA,1041934
EDENOR,1395213
EKSPORTFINANS ASA,700978
ELAN CORP PLC,737572
ELBIT IMAGING LTD,1027662
ELBIT SYSTEMS LTD,1027664
ELBIT VISION SYSTEMS LTD,1011664
ELDORADO GOLD CORP /FI,918608
ELRON ELECTRONIC INDUSTRIES LTD /NY/,315126
ELTEK LTD,1024672
EMGOLD MINING CORP,1199392
EMPRESA NACIONAL DE ELECTRICIDAD S.A.,926864
ENBRIDGE INC,895728
ENCANA CORP,1157806
ENDEAVOUR SILVER CORP,1277866
ENERGY CO OF MINAS GERAIS,1157557
ENERGY CO OF PARANA,1041792
ENERPLUS RESOURCES FUND,1126874
ENERSIS S.A.,912505
ENI SPA,1002242
ENTERRA ENERGY TRUST,1116377
ENTOURAGE MINING LTD,1239672
ENTREE GOLD INC,1271554
ENVOY CAPITAL GROUP INC.,1031516
ERICSSON LM TELEPHONE CO,717826
ESPERANZA RESOURCES CORP,1261252
EURAND N.V.,1119745
EURO TECH HOLDINGS CO LTD,1026662
EUROSEAS LTD.,1341170
EXCEL MARITIME CARRIERS LTD,842294
EXETER RESOURCE CORP,1306900
EXFO INC.,1116284
EZCHIP SEMICONDUCTOR LTD,892534
Ellomay Capital Ltd.,946394
EMBRAER S.A.,1355444
Evotec AG,1412558
FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,915191
FIRSTSERVICE CORP,913353
FLAMEL TECHNOLOGIES SA,1012477
FORMULA SYSTEMS (1985) LTD,1045986
FRANCE TELECOM /,1038143
FREEGOLD VENTURES LTD,1064052
FRONTEER GOLD INC,1271129
FRONTLINE LTD /,913290
FUNDTECH LTD,1054836
Focus Media Holding LTD,1330017
FMI HOLDINGS LTD.,1087477
FreeSeas Inc.,1325159
Fresenius Medical Care AG & Co. KGaA,1333141
"Fuwei Films (Holdings), Co. Ltd.",1381074
G WILLI FOOD INTERNATIONAL LTD,1030997
GAS TRANSPORTER OF THE SOUTH INC,931427
GDF SUEZ,1243443
GENETIC TECHNOLOGIES LTD,1166272
GERDAU AMERISTEEL CORP,1203748
GERDAU S.A.,1073404
GILAT SATELLITE NETWORKS LTD,897322
GIVEN IMAGING LTD,1126140
GLAXOSMITHKLINE PLC,1131399
GLOBAL SOURCES LTD /BERMUDA,1110650
GOLAR LNG LTD,1207179
GOLD FIELDS LTD,1172724
GOLD RESERVE INC,1072725
GOLDCORP INC,919239
GOLDEN GOLIATH RESOURCES LTD,1127307
GOVERNOR & CO OF THE BANK OF IRELAND,1022575
GPC BIOTECH AG,1117629
GRAND PEAK CAPITAL CORP.,781885
"GRAVITY Co., Ltd.",1313310
GREAT BASIN GOLD LTD,865492
GROUP SIMEC SA DE CV,887153
GRUMA SAB DE CV,1053947
GRUPO CASA SABA SA DE CV,906779
GRUPO FINANCIERO GALICIA SA,1114700
GRUPO RADIO CENTRO SAB DE CV,906526
"GRUPO TELEVISA, S.A.B.",912892
GRUPO TMM SAB,1163560
GUANGSHEN RAILWAY CO LTD,1012139
Gafisa S.A.,1389207
Gammon Gold Inc.,1078217
Genesis Lease LTD,1369824
Gentium S.p.A.,1314755
Giant Interactive Group Inc.,1415016
Gildan Activewear Inc.,1061894
"Global Ship Lease, Inc.",1430725
Gmarket Inc.,1365241
Gol Intelligent Airlines Inc.,1291733
Great Panther Silver LTD,1300050
Gushan Environmental Energy LTD,1419723
HARD CREEK NICKEL CORP,1336364
JAMES HARDIE INDUSTRIES SE,1159152
HARMONY GOLD MINING CO LTD,1023514
HARRY WINSTON DIAMOND CORP,841071
HARVEST ENERGY TRUST,1309799
HDFC BANK LTD,1144967
HEAD NV,1123455
HELLENIC TELECOMMUNICATIONS ORGANIZATION SA,1071170
HIGHWAY HOLDINGS LTD,1026785
HITACHI LTD,47710
"Hollysys Automation Technologies, Ltd.",1357450
HONDA MOTOR CO LTD,715153
HSBC HOLDINGS PLC,1089113
HUANENG POWER INTERNATIONAL INC,929058
HUSKY ENERGY INC,49279
HYDROGENICS CORP,1119985
Hadera Paper Ltd,5337
Helix BioPharma Corp,1305591
"Himax Technologies, Inc.",1342338
Home Inns & Hotels Management Inc.,1376972
Homeland Precious Metals Corp.,1289634
Homex Development Corp.,1293153
"Ku6 Media Co., Ltd",1294435
Hutchison Telecommunications International LTD,1293257
I CABLE COMMUNICATIONS LTD,1097020
IAMGOLD CORP,1203464
ICA CORP,885012
ICICI BANK LTD,1103838
ICON PLC  /ADR/,1060955
